YEAR,NEIGHBORHOOD,RACE/ETHNICITY,AGE,TOTAL NUMBER OF HIV DIAGNOSES,"HIV DIAGNOSES PER 100,000 POPULATION",TOTAL NUMBER OF CONCURRENT HIV/AIDS DIAGNOSES,PROPORTION OF CONCURRENT HIV/AIDS DIAGNOSES AMONG ALL HIV DIAGNOSES,TOTAL NUMBER OF AIDS DIAGNOSES,"AIDS DIAGNOSES PER 100,000 POPULATION",Borough,NEIGHBORHOOD_CLEAN,YEAR,Borough,NEIGHBORHOOD,SEX,RACE/ETHNICITY,TOTAL NUMBER OF HIV DIAGNOSES,"HIV DIAGNOSES PER 100,000 POPULATION",TOTAL NUMBER OF CONCURRENT HIV/AIDS DIAGNOSES,PROPORTION OF CONCURRENT HIV/AIDS DIAGNOSES AMONG ALL HIV DIAGNOSES,TOTAL NUMBER OF AIDS DIAGNOSES,"AIDS DIAGNOSES PER 100,000 POPULATION",NEIGHBORHOOD_CLEAN
2011,Canarsie - Flatlands,Multiracial,50 - 59,0.0,0.0,0.0,0.0,0.0,0.0,,canarsieflatlands,2021,Brooklyn,Canarsie - Flatlands,All,"Asian/Pacific
Islander",1.0,10.2,0.0,0.0,0.0,0.0,canarsieflatlands
2013,Ridgewood - Forest Hills,White,20 - 29,2.0,12.5,0.0,0.0,0.0,0.0,,ridgewoodforesthills,2011,,Ridgewood - Forest Hills,Female,Native American,0.0,0.0,0.0,0.0,0.0,0.0,ridgewoodforesthills
2011,Canarsie - Flatlands,Asian/Pacific Islander,60+,0.0,0.0,0.0,0.0,0.0,0.0,,canarsieflatlands,2018,Brooklyn,Canarsie - Flatlands,Female,Black,16.0,24.8,3.0,18.8,5.0,7.7,canarsieflatlands
2010,Coney Island - Sheepshead Bay,Native American,40 - 49,0.0,0.0,0.0,0.0,0.0,0.0,,coneyislandsheepsheadbay,2021,Brooklyn,"Coney Island -
Sheepshead Bay",Female,All,5.0,3.7,0.0,0.0,5.0,3.7,coneyislandsheepsheadbay
2012,Fresh Meadows,Hispanic,20 - 29,0.0,0.0,0.0,0.0,1.0,47.8,,freshmeadows,2020,Queens,Fresh Meadows,Female,Black,0.0,0.0,0.0,,0.0,0.0,freshmeadows
2011,Unknown,Black,50 - 59,20.0,,3.0,,23.0,,,unknown,2010,,Unknown,Male,Hispanic,65.0,,6.0,,40.0,,unknown
2013,Kingsbridge - Riverdale,White,20 - 29,1.0,24.1,0.0,0.0,0.0,0.0,,kingsbridgeriverdale,2020,Bronx,"Kingsbridge -
Riverdale",All,Other/Unknown,0.0,0.0,0.0,,0.0,0.0,kingsbridgeriverdale
2016,All,Black,"13 -
19",20.0,29.9,0.0,0.0,3.0,4.5,Brooklyn,all,2020,"Staten
Island",All,Male,Latino/Hispanic,4.0,11.2,0.0,0.0,5.0,14.0,all
2013,East New York,Multiracial,50 - 59,0.0,0.0,0.0,0.0,0.0,0.0,,eastnewyork,2020,Brooklyn,East New York,Male,All,49.0,71.7,5.0,10.2,20.0,29.3,eastnewyork
2016,Pelham - Throgs Neck,White,"20 -
29",2.0,32.8,0.0,0.0,0.0,0.0,Bronx,pelhamthrogsneck,2018,Bronx,"Pelham - Throgs
Neck",All,Latino/Hispanic,36.0,27.7,6.0,16.7,20.0,15.4,pelhamthrogsneck
2012,Crotona - Tremont,Hispanic,20 - 29,15.0,61.5,3.0,20.0,10.0,41.0,,crotonatremont,2013,,Crotona - Tremont,Female,Multiracial,0.0,0.0,0.0,0.0,0.0,0.0,crotonatremont
2016,All,Black,"40 -
49",51.0,94.4,17.0,33.3,43.0,79.6,Bronx,all,2016,All,All,Male,Other/Unknown,25.0,46.3,5.0,20.0,12.0,22.2,all
2011,Borough Park,Unknown,30 - 39,0.0,,0.0,,0.0,,,boroughpark,2021,Brooklyn,Borough Park,Male,Other/Unknown,0.0,0.0,0.0,,0.0,0.0,boroughpark
2016,All,Other/Unknown,"30 -
39",1.0,45.1,0.0,0.0,0.0,0.0,Bronx,all,2020,"Staten
Island",All,All,"Asian/Pacific
Islander",3.0,6.4,0.0,0.0,0.0,0.0,all
2010,Central Harlem - Morningside Heights,Black,40 - 49,24.0,173.4,4.0,16.7,17.0,122.8,,centralharlemmorningsideheights,2011,,Central Harlem - Morningside Heights,Male,Asian/Pacific Islander,1.0,31.6,0.0,0.0,1.0,31.6,centralharlemmorningsideheights
2013,Upper Westside,Native American,0 - 19,0.0,0.0,0.0,0.0,0.0,0.0,,upperwestside,2016,Manhattan,Upper West Side,Female,Black,2.0,28.3,1.0,50.0,2.0,28.3,upperwestside
2012,Jamaica,Multiracial,All,0.0,0.0,0.0,0.0,0.0,0.0,,jamaica,2017,Queens,Jamaica,All,Other/Unknown,1.0,14.2,1.0,100.0,1.0,14.2,jamaica
2012,Greenpoint,Multiracial,30 - 39,0.0,0.0,0.0,0.0,0.0,0.0,,greenpoint,2010,,Greenpoint,Female,Hispanic,1.0,6.5,1.0,100.0,3.0,19.5,greenpoint
2012,Southeast Queens,Native American,0 - 19,0.0,0.0,0.0,0.0,0.0,0.0,,southeastqueens,2016,Queens,Southeast Queens,Male,White,0.0,0.0,0.0,,1.0,9.0,southeastqueens
2011,High Bridge - Morrisania,Black,All,69.0,95.6,14.0,20.3,60.0,83.1,,highbridgemorrisania,2018,Bronx,"High Bridge -
Morrisania",Female,All,27.0,29.0,2.0,7.4,35.0,37.5,highbridgemorrisania
2012,West Queens,Native American,30 - 39,0.0,0.0,0.0,0.0,0.0,0.0,,westqueens,2020,Queens,West Queens,Male,"Asian/Pacific
Islander",7.0,14.6,3.0,42.9,3.0,6.2,westqueens
2010,Willowbrook,Black,60+,0.0,0.0,0.0,0.0,0.0,0.0,,willowbrook,2010,,Willowbrook,Male,Asian/Pacific Islander,0.0,0.0,0.0,0.0,0.0,0.0,willowbrook
2010,Pelham - Throgs Neck,Hispanic,All,47.0,31.6,16.0,34.0,48.0,32.3,,pelhamthrogsneck,2021,Bronx,"Pelham - Throgs
Neck",Male,All,40.0,34.0,10.0,25.0,27.0,22.9,pelhamthrogsneck
2011,Hunts Point - Mott Haven,Asian/Pacific Islander,All,0.0,0.0,0.0,0.0,0.0,0.0,,huntspointmotthaven,2020,Bronx,"Hunts Point - Mott
Haven",Male,"Asian/Pacific
Islander",0.0,0.0,0.0,,1.0,189.7,huntspointmotthaven
2016,All,Black,"30 -
39",49.0,86.5,19.0,38.8,40.0,70.6,Bronx,all,2019,All,All,Female,All,334.0,8.9,69.0,20.7,296.0,7.9,all
2011,Upper Eastside,Black,40 - 49,2.0,161.7,1.0,50.0,3.0,242.6,,uppereastside,2021,Manhattan,Upper East Side,Female,White,1.0,1.3,0.0,0.0,1.0,1.3,uppereastside
2010,Hunts Point - Mott Haven,Asian/Pacific Islander,40 - 49,0.0,0.0,0.0,0.0,0.0,0.0,,huntspointmotthaven,2016,Bronx,"Hunts Point - Mott
Haven",Male,Latino/Hispanic,32.0,88.4,3.0,9.4,11.0,30.4,huntspointmotthaven
2013,Pelham - Throgs Neck,Asian/Pacific Islander,0 - 19,0.0,0.0,0.0,0.0,0.0,0.0,,pelhamthrogsneck,2016,Bronx,"Pelham - Throgs
Neck",All,Black,31.0,58.0,5.0,16.1,23.0,43.1,pelhamthrogsneck
2016,All,Other/Unknown,60+,0.0,0.0,0.0,,0.0,0.0,All,all,2018,Brooklyn,All,All,All,536.0,25.1,104.0,19.4,299.0,14.0,all
2011,Washington Heights - Inwood,Black,50 - 59,4.0,91.1,1.0,25.0,3.0,68.3,,washingtonheightsinwood,2010,,Washington Heights - Inwood,Male,Black,34.0,241.1,2.0,5.9,30.0,212.7,washingtonheightsinwood
2012,High Bridge - Morrisania,Native American,0 - 19,0.0,0.0,0.0,0.0,0.0,0.0,,highbridgemorrisania,2017,Bronx,"High Bridge -
Morrisania",Female,Other/Unknown,0.0,0.0,0.0,,1.0,92.7,highbridgemorrisania
2012,South Beach - Tottenville,Unknown,All,0.0,,0.0,,0.0,,,southbeachtottenville,2020,"Staten
Island","South Beach -
Tottenville",Male,Other/Unknown,2.0,218.7,1.0,50.0,1.0,109.3,southbeachtottenville
2012,Greenwich Village - SoHo,Asian/Pacific Islander,20 - 29,0.0,0.0,0.0,0.0,0.0,0.0,,greenwichvillagesoho,2017,Manhattan,"Greenwich Village -
Soho",Female,Other/Unknown,0.0,0.0,0.0,,0.0,0.0,greenwichvillagesoho
2016,All,Latino/Hispanic,"50 -
59",11.0,20.1,1.0,9.1,14.0,25.6,Brooklyn,all,2020,"Staten
Island",All,Female,"Asian/Pacific
Islander",1.0,4.1,0.0,0.0,0.0,0.0,all
2010,South Beach - Tottenville,Unknown,0 - 19,0.0,,0.0,,0.0,,,southbeachtottenville,2020,"Staten
Island","South Beach -
Tottenville",Male,Latino/Hispanic,2.0,20.5,0.0,0.0,2.0,20.5,southbeachtottenville
2010,Bayside - Little Neck,Asian/Pacific Islander,0 - 19,0.0,0.0,0.0,0.0,0.0,0.0,,baysidelittleneck,2019,Queens,Bayside - Little Neck,Female,Black,0.0,0.0,0.0,,0.0,0.0,baysidelittleneck
2012,Jamaica,White,30 - 39,3.0,125.6,1.0,33.3,1.0,41.9,,jamaica,2019,Queens,Jamaica,Male,All,41.0,33.0,5.0,12.2,16.0,12.9,jamaica
2013,Coney Island - Sheepshead Bay,Black,40 - 49,4.0,165.4,1.0,25.0,1.0,41.3,,coneyislandsheepsheadbay,2019,Brooklyn,"Coney Island -
Sheepshead Bay",Male,White,5.0,7.2,0.0,0.0,1.0,1.4,coneyislandsheepsheadbay
2011,Upper Eastside,Black,20 - 29,2.0,152.8,0.0,0.0,0.0,0.0,,uppereastside,2020,Manhattan,Upper East Side,Male,White,5.0,7.7,0.0,0.0,1.0,1.5,uppereastside
